# fixture	wall_micros_median	artifact_bytes	peak_rss_bytes
irs-f1040sd-2025	15931	671140	13795328
irs-fw9	19681	836839	18956288
nist-sp-800-161r1	4095748	284739064	1184071680
nist-sp-800-171r3	1247421	85943482	423313408
nist-sp-800-207	642395	44738385	215302144
nist-sp-800-218	437387	30125864	177602560
nist-sp-800-37r2	3160391	217746811	959315968
nist-sp-800-53Ar5	14093041	996655081	3917742080
