# floor.py — ethos-parser 0.58.0 — binary /Users/saumildiwaker/Desktop/Stuff/project/repo/ethos-parser/target/aarch64-apple-darwin/release/ethos-parser
# started 2026-09-16 20:09:41 +0530, 49 s; load average at start (2.25537109375, 3.7509765625, 3.5478515625), at end (2.66845703125, 3.64501953125, 3.51953125)
# rss and footprint are bytes from `/usr/bin/time -l`; wall_micros is the engine's own diagnostics line; the full-size-pass row's sink is a pipe, every other row's is /dev/null or a scratch file
# fixture	mode	budget	run	pages	wall_micros	peak_rss_bytes	peak_footprint_bytes	artifact_bytes	exit
# fixture	mode	budget	run	pages	wall_micros	peak_rss_bytes	peak_footprint_bytes	artifact_bytes	exit
irs-f1040sd-2025	classify0	-	1	-	2854	5881856	4292944	-	0
irs-f1040sd-2025	classify0	-	2	-	2699	5931008	4342096	-	0
irs-f1040sd-2025	classify0	-	3	-	2671	5947392	4358480	-	0
irs-fw9	classify0	-	1	-	3303	6488064	4899152	-	0
irs-fw9	classify0	-	2	-	3000	6455296	4866384	-	0
irs-fw9	classify0	-	3	-	3057	6488064	4899152	-	0
nist-sp-800-161r1	classify0	-	1	-	48625	64503808	62996888	-	0
nist-sp-800-161r1	classify0	-	2	-	48978	62554112	61047192	-	0
nist-sp-800-161r1	classify0	-	3	-	49265	63766528	62259608	-	0
nist-sp-800-171r3	classify0	-	1	-	34346	43614208	41959784	-	0
nist-sp-800-171r3	classify0	-	2	-	34555	43548672	41877888	-	0
nist-sp-800-171r3	classify0	-	3	-	34437	43941888	42287464	-	0
nist-sp-800-207	classify0	-	1	-	7057	11419648	9814352	-	0
nist-sp-800-207	classify0	-	2	-	6851	11386880	9797992	-	0
nist-sp-800-207	classify0	-	3	-	6849	11354112	9748816	-	0
nist-sp-800-218	classify0	-	1	-	8100	12861440	11272552	-	0
nist-sp-800-218	classify0	-	2	-	7824	12877824	11272528	-	0
nist-sp-800-218	classify0	-	3	-	7611	12926976	11338088	-	0
nist-sp-800-37r2	classify0	-	1	-	43918	55492608	53985688	-	0
nist-sp-800-37r2	classify0	-	2	-	44425	55623680	54116760	-	0
nist-sp-800-37r2	classify0	-	3	-	43509	56475648	54968728	-	0
nist-sp-800-53Ar5	classify0	-	1	-	190894	202096640	200655352	-	0
nist-sp-800-53Ar5	classify0	-	2	-	190669	203145216	201720336	-	0
nist-sp-800-53Ar5	classify0	-	3	-	189641	202817536	201376248	-	0
control:untagged-shredded-line	classify0	-	1	-	496	2981888	1442104	-	0
control:untagged-shredded-line	classify0	-	2	-	318	2867200	1327416	-	0
control:untagged-shredded-line	classify0	-	3	-	340	2965504	1425720	-	0
# floor.py — ethos-parser 0.58.0 — binary /Users/saumildiwaker/Desktop/Stuff/project/repo/ethos-parser/target/aarch64-apple-darwin/release/ethos-parser — modes full
# started 2026-09-16 20:14:41 +0530, 2 s; load average at start (2.57421875, 3.07861328125, 3.298828125), at end (2.57421875, 3.07861328125, 3.298828125)
# rss and footprint are bytes from `/usr/bin/time -l`; wall_micros is the engine's own diagnostics line; the full-size-pass row's sink is a pipe, every other row's is /dev/null or a scratch file
# fixture	mode	budget	run	pages	wall_micros	peak_rss_bytes	peak_footprint_bytes	artifact_bytes	exit
nist-sp-800-207	full	-	1	59	569972	218726400	188367424	-	0
nist-sp-800-207	full	-	2	59	568701	214007808	183632400	-	0
nist-sp-800-207	full	-	3	59	567835	214630400	184238608	-	0
# floor.py — ethos-parser 0.58.0 — binary /Users/saumildiwaker/Desktop/Stuff/project/repo/ethos-parser/target/aarch64-apple-darwin/release/ethos-parser — modes ladder — ladders {'nist-sp-800-171r3': [8, 32], 'nist-sp-800-53Ar5': [8, 32, 64, 256, 512]}
# started 2026-09-16 20:14:43 +0530, 16 s; load average at start (2.57421875, 3.07861328125, 3.298828125), at end (3.15966796875, 3.1875, 3.33349609375)
# rss and footprint are bytes from `/usr/bin/time -l`; wall_micros is the engine's own diagnostics line; the full-size-pass row's sink is a pipe, every other row's is /dev/null or a scratch file
# fixture	mode	budget	run	pages	wall_micros	peak_rss_bytes	peak_footprint_bytes	artifact_bytes	exit
nist-sp-800-171r3	budget	8	1	120	90241	71041024	65028552	-	0
nist-sp-800-171r3	budget	32	1	120	312949	155320320	126435808	-	0
nist-sp-800-53Ar5	budget	8	1	733	402258	254296064	247038528	-	0
nist-sp-800-53Ar5	budget	32	1	733	750172	391577600	310919864	-	0
nist-sp-800-53Ar5	budget	64	1	733	1281465	572080128	442581760	-	0
nist-sp-800-53Ar5	budget	256	1	733	4458109	1549549568	1099515440	-	0
nist-sp-800-53Ar5	budget	512	1	733	8789000	2852831232	2272577768	-	0
# floor.py — ethos-parser 0.58.0 — binary /Users/saumildiwaker/Desktop/Stuff/project/repo/ethos-parser/target/aarch64-apple-darwin/release/ethos-parser — modes ladder — ladders {'nist-sp-800-53Ar5': [128, 128, 128]}
# started 2026-09-16 20:17:06 +0530, 7 s; load average at start (3.09814453125, 3.09619140625, 3.2705078125), at end (3.41015625, 3.16064453125, 3.2919921875)
# rss and footprint are bytes from `/usr/bin/time -l`; wall_micros is the engine's own diagnostics line; the full-size-pass row's sink is a pipe, every other row's is /dev/null or a scratch file
# fixture	mode	budget	run	pages	wall_micros	peak_rss_bytes	peak_footprint_bytes	artifact_bytes	exit
nist-sp-800-53Ar5	budget	128	1	733	2348412	946700288	691946432	-	0
nist-sp-800-53Ar5	budget	128	1	733	2354634	945913856	688718808	-	0
nist-sp-800-53Ar5	budget	128	1	733	2398506	951189504	691635136	-	0
