# fixture	wall_micros_median	artifact_bytes	peak_rss_bytes
irs-f1040sd-2025	17255	671140	15876096
irs-fw9	20117	836839	20119552
nist-sp-800-161r1	4244992	284739064	1721548800
nist-sp-800-171r3	1295505	85943482	595312640
nist-sp-800-207	664059	44738385	260636672
nist-sp-800-218	453685	30125864	239222784
nist-sp-800-37r2	3228567	217746811	1132806144
nist-sp-800-53Ar5	15334479	996655081	6969311232
