corpus	doc	classify_exit	classify_code	extract_exit	extract_code	extract_message	pages_authorized	pages_processed	pages_failed	pages_unsupported	pages_quarantined	pages_not_attempted	terminal	limitation_codes	artifact_bytes	extract_wall_s
engine	tagged-structure-roles/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;structure-mcid-unbound;undrawn-table-edges-not-supplied	12265	0.011
engine	tagged-table-agrees/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied	12188	0.011
engine	tagged-table-disagrees/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;structure-item-without-content;undrawn-table-edges-not-supplied	12937	0.012
engine	two-column-14-lines/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;unruled-table-candidate-refused;untagged-structure-tree-absent	16463	0.014
engine	two-column-15-lines/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;unruled-table-candidate-refused;untagged-structure-tree-absent	16761	0.013
engine	unruled-near-miss/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;unruled-table-candidate-refused;untagged-structure-tree-absent	13170	0.012
engine	untagged-shredded-line/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	11430	0.011
engine	whitespace-past-the-page-edge/document.pdf	0		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;geometry-absent-not-groundable;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;unruled-table-candidate-refused;untagged-structure-tree-absent	13119	0.011
oracle	failure/corrupt-header-valid/document.pdf	2	malformed	2	malformed	malformed pdf structure: failed parsing cross reference table: invalid start value										0.008
oracle	failure/image-only-or-blank-page/document.pdf	1		0			1	1	0	0	0	0	complete	backend-xref-strict-20-byte;form-xobject-text-not-descended;image-payload-not-embedded;low-contrast-not-detected;markdown-table-spans-flattened;page-raster-not-emitted;predefined-cmaps-not-vendored;reading-order-geometric-only;undrawn-table-edges-not-supplied;untagged-structure-tree-absent	9865	0.008
